Location,Plot,Experiment,Variety,Area,plant 1,plant 2,plant 3,plant 4,plant 5,plant 6,plant 7,plant 8,plant 9,plant 10,avg_diam
Whirling Thunder,503-3,2,Tibor70,bottom,6.42,7.08,6.4,4.99,6.08,4.84,3,5.57,8.18,4.12,5.668
Whirling Thunder,504-4,2,Tibor80,bottom,2.84,8.56,8.51,7.1,6.86,3.29,6.45,9.77,4.92,6.35,6.465
Whirling Thunder,505-5,2,Felina50,bottom,5.95,4.4,3.44,6.15,4.13,4.47,6.52,6.51,5.92,6.07,5.356
Whirling Thunder,506-6,2,Felina60,bottom,5.08,6.1,6.13,6.1,4.73,8.4,4.2,7.54,4.21,7.13,5.962
Whirling Thunder,507-7,2,Felina70,bottom,7.34,7.52,9.76,3.11,4.63,3.72,5.09,2.47,5.16,6.45,5.525
Whirling Thunder,508-8,2,Felina80,bottom,7.7,5.74,4.37,5.29,3.77,3.49,3.66,3.26,4.78,3.42,4.548
Whirling Thunder,601-8,2,Felina80,bottom,5.24,5.67,4.53,2.82,5.11,5.78,3.89,5.01,5.09,3.29,4.643
Whirling Thunder,602-4,2,Tibor80,bottom,7.16,7.09,7.01,5.62,10.08,6.95,5.59,6.26,2.42,5.33,6.351
Whirling Thunder,603-1,2,Tibor50,bottom,5.52,6.19,7.91,8.5,7.96,6.03,9.67,5.66,4.27,6.44,6.815
Whirling Thunder,604-6,2,Felina60,bottom,4.38,4.5,5.13,3.44,3.15,5.63,5.37,2.7,4.59,5.08,4.397
Whirling Thunder,605-2,2,Tibor60,bottom,9.15,4.92,11.74,7.6,5.69,7.73,6.39,4.07,5.55,5.5,6.834
Whirling Thunder,606-5,2,Felina50,bottom,2.84,6.11,8.26,12.92,5.5,6.21,7.36,6.59,7.14,8.34,7.127
Whirling Thunder,607-7,2,Felina70,bottom,6.23,5.51,8.94,5.71,5.34,7.41,5.43,4.85,4.19,5.18,5.879
Whirling Thunder,608-3,2,Tibor70,bottom,9.69,8.97,6.86,4.75,9.4,4.38,8.01,7.77,5.05,,7.208888889
Whirling Thunder,701-3,2,Tibor70,bottom,7.97,5.42,6.79,8.23,5.63,6.18,5.6,6.71,6.4,4.64,6.357
Whirling Thunder,702-4,2,Tibor80,bottom,6.77,7.08,4.61,9.17,8.45,11.51,10.09,7.94,6.57,6.99,7.918
Whirling Thunder,703-2,2,Tibor60,bottom,5.43,9.29,7.9,9.44,6.62,7.67,8.71,11.86,7.34,9.62,8.388
Whirling Thunder,704-6,2,Felina60,bottom,5.21,1.78,9.03,3.61,6.53,3.93,7.73,4.87,5.39,8.27,5.635
Whirling Thunder,705-7,2,Felina70,bottom,8.64,8.28,8.26,8.53,3.61,2.79,6.96,6.54,8.06,6.5,6.817
Whirling Thunder,706-8,2,Felina80,bottom,4.32,3.26,4.91,5.81,7.22,6.59,3.95,7.25,4.31,6.13,5.375
Whirling Thunder,707-1,2,Tibor50,bottom,5.85,5.56,4.47,7.64,3.12,4.13,3.95,7.4,4.51,5.85,5.248
Whirling Thunder,708-5,2,Felina50,bottom,6.44,4.19,3.54,4.96,4.47,4.63,5.57,5.4,4.33,5.12,4.865
Whirling Thunder,101-1,1,Fibror79,top,2.94,3.19,3.46,3.06,2.48,2.42,3.77,3.13,2.9,4.33,3.168
Whirling Thunder,102-2,1,Futura83,top,4.49,2.51,3.4,2.95,3.18,2.53,2.79,1.58,,,2.92875
Whirling Thunder,103-3,1,Futura75,top,3.6,2.77,4.76,4.43,4.86,4.46,4.67,4.47,2.91,2.95,3.988
Whirling Thunder,104-4,1,Santhica70,top,3.67,3.3,4.53,4.29,3.83,3.65,2.44,2.77,3.59,3.15,3.522
Whirling Thunder,105-5,1,Carmenecta,top,4.1,1.83,3.92,5.26,2.27,4.07,4.39,4.12,2.02,4.59,3.657
Whirling Thunder,106-6,1,Enectarol,top,4.36,2.11,2.99,3.06,3.75,2.47,2.24,4.07,3.59,3.04,3.168
Whirling Thunder,107-7,1,USO31,top,3.83,5.39,3.37,4.35,2.69,4.93,5.67,2.84,2.57,2.87,3.851
Whirling Thunder,108-8,1,Bialob,top,3.46,1.82,3.73,3.55,2.27,5.29,2.62,4.28,5.73,3.09,3.584
Whirling Thunder,109-9,1,Orion33,top,2.95,4.59,2.84,3.15,4.17,5.52,6.02,2.8,4.75,3.38,4.017
Whirling Thunder,110-10,1,Tibor,top,4.17,3.77,3.78,3.72,4.34,1.43,3.01,1.99,4.36,1.64,3.221
Whirling Thunder,111-11,1,Muka,top,3.3,2.73,3.46,3.84,3.31,2.57,2.78,2.28,3.04,2.51,2.982
Whirling Thunder,112-12,1,Ferimon,top,3.95,2.61,3.1,4.08,3.17,2.22,3.39,2.53,2.22,3.48,3.075
Whirling Thunder,201-6,1,Enectarol,top,3.56,1.68,2.02,2.6,3.28,1.95,2.34,2.06,3.27,3.41,2.617
Whirling Thunder,202-12,1,Ferimon,top,4.25,4.04,3.99,2.98,2.9,3.77,2.06,2.91,4.15,2.01,3.306
Whirling Thunder,203-4,1,Santhica70,top,4.25,2.03,3.33,5.52,4.6,2.57,2.18,2.65,4.32,3.73,3.518
Whirling Thunder,205-1,1,Fibror79,top,3.19,4.84,3.27,2.95,2.36,3.52,4.96,3.51,2.21,6.44,3.725
Whirling Thunder,206-9,1,Orion33,top,1.41,3.04,2.76,2.63,3.04,3.52,3.18,3.38,1.94,,2.766666667
Whirling Thunder,208-10,1,Tibor,top,3.26,3.8,3.69,2.65,2.99,2.72,3.23,2.57,3.75,2.73,3.139
Whirling Thunder,209-8,1,Bialob,top,4.76,3.94,3.46,3.61,3.06,1.74,2.02,1.49,1.51,3.38,2.897
Whirling Thunder,210-3,1,Futura75,top,0.98,2.35,5.33,1.63,3.46,4.28,3.39,7.05,2.71,,3.464444444
Whirling Thunder,212-2,1,Futura83,top,4.35,4.38,7.98,2.32,3.02,3.53,3.9,3.53,3.05,4.73,4.079
Whirling Thunder,213-5,1,Carmenecta,top,3.51,4.3,2.74,3.53,3.13,2.96,5.36,2.5,2.05,2.08,3.216
Whirling Thunder,214-7,1,USO31,top,0.67,2.54,3.56,3.32,2.78,3.02,1.96,3.02,3.16,3.45,2.748
Whirling Thunder,218-11,1,Muka,top,4.54,4.92,3.69,2.98,2.65,2.28,1.85,1.26,1.5,2.69,2.836
Whirling Thunder,301-10,1,Tibor,top,5.21,3.84,2.63,2.98,3.7,5.58,5.66,4.74,3.03,1.64,3.901
Whirling Thunder,302-5,1,Carmenecta,top,2.21,3.18,4.79,3.34,1.66,3.16,3.86,2.36,2.55,1.99,2.91
Whirling Thunder,304-12,1,Ferimon,top,2.13,2.03,1.16,2.09,2.19,3.88,2.54,3.82,3.44,,2.586666667
Whirling Thunder,305-2,1,Futura83,top,1.61,4.93,4.06,6.67,1.7,4.77,1.49,1.26,1.85,1.97,3.031
Whirling Thunder,306-3,1,Futura75,top,1.14,2.53,2.12,2.53,3.05,2.12,1.24,4.15,1.61,1.43,2.192
Whirling Thunder,307-1,1,Fibror79,top,3.22,2.82,3.77,3.2,3.72,3.51,1.97,2.08,2.96,1.92,2.917
Whirling Thunder,308-4,1,Santhica70,top,2.15,3.65,2.07,1.78,2.04,1.88,3.12,2.57,1.87,1.26,2.239
Whirling Thunder,312-11,1,Muka,top,1.15,3.53,2.3,2.19,1.76,2,3.16,2.13,2.78,2.46,2.346
Whirling Thunder,314-8,1,Bialob,top,2.92,3.12,2.72,3.65,3.78,3.28,3.94,2.1,1.55,2.27,2.933
Whirling Thunder,316-6,1,Enectarol,top,2.08,2.42,2.27,2.88,3.48,4.41,4.12,2.15,2.98,2.39,2.918
Whirling Thunder,317-7,1,USO31,top,4.39,3.24,2.81,3.05,4.15,2.2,3.41,3.27,3.58,2.04,3.214
Whirling Thunder,318-9,1,Orion33,top,4.12,5.4,4.45,3.89,2.51,4.5,4.37,4.72,3.52,5.58,4.306
Whirling Thunder,404-9,1,Orion33,top,2.04,2.39,1.55,0.48,2.87,1.61,1.51,2.58,2.12,2.44,1.959
Whirling Thunder,405-11,1,Muka,top,2.71,4.69,4.31,3.99,2.65,2.42,4.21,1.12,4.93,,3.447777778
Whirling Thunder,406-7,1,USO31,top,1.38,1.87,1.16,1.89,2.67,1.91,2.4,1.78,1.83,2.69,1.958
Whirling Thunder,407-12,1,Ferimon,top,2.8,2.87,3.92,2.9,3.02,3.03,2.1,3.44,5.09,2.98,3.215
Whirling Thunder,411-8,1,Bialob,top,2.2,2.38,2.88,2.85,2.25,2.89,3.27,3.43,1.8,2.77,2.672
Whirling Thunder,412-2,1,Futura83,top,5.06,4.45,5.21,3.99,3.27,3.01,2.69,2.61,2.65,5.04,3.798
Whirling Thunder,413-10,1,Tibor,top,2.3,2.5,2.07,2.83,2.82,1.91,1.54,2.27,2.56,1.92,2.272
Whirling Thunder,414-5,1,Carmenecta,top,3.42,3.9,3.15,1.77,2.82,3.04,1.77,2.66,2.58,3.1,2.821
Whirling Thunder,415-1,1,Fibror79,top,3.3,3.02,4.15,3.72,3.78,3.65,3.62,1.81,2.18,3.58,3.281
Whirling Thunder,416-4,1,Santhica70,top,3.81,2.83,1.89,3.71,2.42,2.4,2.48,2.57,2.16,3.3,2.757
Whirling Thunder,417-6,1,Enectarol,top,2.8,4.48,4.3,3.56,5.37,3.38,3.33,3.51,1.88,2.21,3.482
Whirling Thunder,418-3,1,Futura75,top,2.4,2.3,2.27,3.39,2.22,3.62,2.94,1.06,2.27,3.84,2.631
